Date,Open,High,Low,Close,Adj_Close,Volume,Month_Num
"Jun 1, 2025","19,063.06","19,800.46","18,985.30","19,521.09","19,521.09","113,963,870,000",60
"May 1, 2025","17,793.14","19,389.39","17,503.01","19,113.77","19,113.77","281,078,560,000",59
"Apr 1, 2025","17,221.55","17,716.52","14,784.03","17,446.34","17,446.34","196,411,380,000",58
"Mar 1, 2025","18,923.36","18,992.30","16,854.37","17,299.29","17,299.29","158,800,650,000",57
"Feb 1, 2025","19,215.38","20,110.12","18,372.99","18,847.28","18,847.28","150,047,820,000",56
"Jan 1, 2025","19,403.90","20,118.61","18,831.91","19,627.44","19,627.44","161,608,850,000",55
"Dec 1, 2024","19,255.43","20,204.58","19,168.38","19,310.79","19,310.79","159,134,440,000",54
"Nov 1, 2024","18,189.67","19,366.07","18,112.83","19,218.17","19,218.17","146,515,010,000",53
"Oct 1, 2024","18,154.94","18,785.50","17,767.79","18,095.15","18,095.15","132,373,190,000",52
"Sep 1, 2024","17,585.45","18,327.34","16,668.57","18,189.17","18,189.17","110,388,680,000",51
"Aug 1, 2024","17,647.03","18,017.69","15,708.54","17,713.62","17,713.62","121,239,310,000",50
"Jul 1, 2024","17,773.90","18,671.07","17,015.38","17,599.40","17,599.40","119,005,630,000",49
"Jun 1, 2024","16,865.70","18,035.00","16,646.43","17,732.60","17,732.60","107,772,060,000",48
"May 1, 2024","15,646.09","17,032.66","15,557.64","16,735.02","16,735.02","140,039,820,000",47
"Apr 1, 2024","16,397.05","16,490.65","15,222.78","15,657.82","15,657.82","107,535,290,000",46
"Mar 1, 2024","16,109.83","16,538.86","15,862.63","16,379.46","16,379.46","106,387,420,000",45
"Feb 1, 2024","15,254.02","16,134.22","15,208.88","16,091.92","16,091.92","106,763,830,000",44
"Jan 1, 2024","14,873.70","15,630.58","14,477.57","15,164.01","15,164.01","111,351,260,000",43
"Dec 1, 2023","14,181.35","15,150.07","14,058.52","15,011.35","15,011.35","120,361,680,000",42
"Nov 1, 2023","12,887.06","14,423.22","12,875.20","14,226.22","14,226.22","95,884,580,000",41
"Oct 1, 2023","13,217.98","13,714.14","12,543.86","12,851.24","12,851.24","97,818,540,000",40
